pca_components,hidden_layers,activation,optimizer,lr,dropout,use_batchnorm,epochs,batch_size,w_init,accuracy,f1_score
50,"128,64,32",relu,adam,0.01,0.3,True,50,64,xavier,0.3423,0.2903
50,"128,64,32",relu,adam,0.01,0.3,True,50,64,he,0.348,0.3142
50,"128,64,32",relu,adam,0.01,0.3,True,50,128,xavier,0.3637,0.281
50,"128,64,32",relu,adam,0.01,0.3,True,50,128,he,0.3455,0.2909
50,"128,64,32",relu,adam,0.01,0.3,False,50,64,xavier,0.2736,0.249
50,"128,64,32",relu,adam,0.01,0.3,False,50,64,he,0.3063,0.4019
50,"128,64,32",relu,adam,0.01,0.3,False,50,128,xavier,0.3195,0.3049
50,"128,64,32",relu,adam,0.01,0.3,False,50,128,he,0.279,0.3651
50,"128,64,32",relu,adam,0.01,0.5,True,50,64,xavier,0.3056,0.1284
50,"128,64,32",relu,adam,0.01,0.5,True,50,64,he,0.3259,0.2072
50,"128,64,32",relu,adam,0.01,0.5,True,50,128,xavier,0.3226,0.2784
50,"128,64,32",relu,adam,0.01,0.5,True,50,128,he,0.3308,0.2717
50,"128,64,32",relu,adam,0.01,0.5,False,50,64,xavier,0.1938,0.0002
50,"128,64,32",relu,adam,0.01,0.5,False,50,64,he,0.2318,0.2121
50,"128,64,32",relu,adam,0.01,0.5,False,50,128,xavier,0.2653,0.3095
50,"128,64,32",relu,adam,0.01,0.5,False,50,128,he,0.2773,0.2103
50,"128,64,32",relu,adam,0.01,0.7,True,50,64,xavier,0.2307,0.1946
50,"128,64,32",relu,adam,0.01,0.7,True,50,64,he,0.2723,0.2733
50,"128,64,32",relu,adam,0.01,0.7,True,50,128,xavier,0.2255,0.0652
50,"128,64,32",relu,adam,0.01,0.7,True,50,128,he,0.2365,0.3172
50,"128,64,32",relu,adam,0.01,0.7,False,50,64,xavier,0.1799,0.0272
50,"128,64,32",relu,adam,0.01,0.7,False,50,64,he,0.1514,0.0967
50,"128,64,32",relu,adam,0.01,0.7,False,50,128,xavier,0.1637,0.0715
50,"128,64,32",relu,adam,0.01,0.7,False,50,128,he,0.1628,0.1626
50,"128,64,32",relu,adam,0.001,0.3,True,50,64,xavier,0.3638,0.2808
50,"128,64,32",relu,adam,0.001,0.3,True,50,64,he,0.3689,0.2918
50,"128,64,32",relu,adam,0.001,0.3,True,50,128,xavier,0.368,0.3128
50,"128,64,32",relu,adam,0.001,0.3,True,50,128,he,0.3676,0.2916
50,"128,64,32",relu,adam,0.001,0.3,False,50,64,xavier,0.3397,0.2855
50,"128,64,32",relu,adam,0.001,0.3,False,50,64,he,0.3372,0.2926
50,"128,64,32",relu,adam,0.001,0.3,False,50,128,xavier,0.3597,0.3321
50,"128,64,32",relu,adam,0.001,0.3,False,50,128,he,0.3538,0.3159
50,"128,64,32",relu,adam,0.001,0.5,True,50,64,xavier,0.3427,0.2637
50,"128,64,32",relu,adam,0.001,0.5,True,50,64,he,0.3349,0.2488
50,"128,64,32",relu,adam,0.001,0.5,True,50,128,xavier,0.3424,0.2317
50,"128,64,32",relu,adam,0.001,0.5,True,50,128,he,0.3426,0.2441
50,"128,64,32",relu,adam,0.001,0.5,False,50,64,xavier,0.2803,0.2516
50,"128,64,32",relu,adam,0.001,0.5,False,50,64,he,0.2978,0.2622
50,"128,64,32",relu,adam,0.001,0.5,False,50,128,xavier,0.3245,0.2762
50,"128,64,32",relu,adam,0.001,0.5,False,50,128,he,0.3177,0.2584
50,"128,64,32",relu,adam,0.001,0.7,True,50,64,xavier,0.2156,0.0505
50,"128,64,32",relu,adam,0.001,0.7,True,50,64,he,0.2129,0.0432
50,"128,64,32",relu,adam,0.001,0.7,True,50,128,xavier,0.2193,0.0567
50,"128,64,32",relu,adam,0.001,0.7,True,50,128,he,0.2158,0.0671
50,"128,64,32",relu,adam,0.001,0.7,False,50,64,xavier,0.1937,0.053
50,"128,64,32",relu,adam,0.001,0.7,False,50,64,he,0.2066,0.0396
50,"128,64,32",relu,adam,0.001,0.7,False,50,128,xavier,0.1969,0.0463
50,"128,64,32",relu,adam,0.001,0.7,False,50,128,he,0.2001,0.0408
50,"128,64,32",relu,adam,0.0001,0.3,True,50,64,xavier,0.3464,0.2577
50,"128,64,32",relu,adam,0.0001,0.3,True,50,64,he,0.3295,0.2718
50,"128,64,32",relu,adam,0.0001,0.3,True,50,128,xavier,0.3331,0.2931
50,"128,64,32",relu,adam,0.0001,0.3,True,50,128,he,0.3238,0.2528
50,"128,64,32",relu,adam,0.0001,0.3,False,50,64,xavier,0.3594,0.2592
50,"128,64,32",relu,adam,0.0001,0.3,False,50,64,he,0.3461,0.2362
50,"128,64,32",relu,adam,0.0001,0.3,False,50,128,xavier,0.3484,0.2742
50,"128,64,32",relu,adam,0.0001,0.3,False,50,128,he,0.3272,0.258
50,"128,64,32",relu,adam,0.0001,0.5,True,50,64,xavier,0.3207,0.1961
50,"128,64,32",relu,adam,0.0001,0.5,True,50,64,he,0.3043,0.2298
