pca_components,hidden_layers,activation,optimizer,lr,dropout,use_batchnorm,batch_size,accuracy,f1_score
128,"128,64,32",gelu,adam,0.01,0.0,False,128,0.2004,0.523
128,"128,64,32",gelu,adam,0.01,0.0,True,128,0.2917,0.3783
128,"128,64,32",gelu,adam,0.01,0.5,False,128,0.1304,0.0
128,"128,64,32",gelu,adam,0.01,0.5,True,128,0.2692,0.0648
128,"128,64,32",gelu,adam,0.01,0.7,False,128,0.1233,0.0026
128,"128,64,32",gelu,adam,0.01,0.7,True,128,0.2038,0.0012
128,"128,64,32",gelu,adam,0.005,0.0,False,128,0.3132,0.094
128,"128,64,32",gelu,adam,0.005,0.0,True,128,0.3637,0.2484
128,"128,64,32",gelu,adam,0.005,0.5,False,128,0.1951,0.0
128,"128,64,32",gelu,adam,0.005,0.5,True,128,0.3314,0.2345
128,"128,64,32",gelu,adam,0.005,0.7,False,128,0.1445,0.0
128,"128,64,32",gelu,adam,0.005,0.7,True,128,0.2696,0.174
128,"128,64,32",gelu,adam,0.0005,0.0,False,128,0.3748,0.2684
128,"128,64,32",gelu,adam,0.0005,0.0,True,128,0.3554,0.2356
128,"128,64,32",gelu,adam,0.0005,0.5,False,128,0.3496,0.3344
128,"128,64,32",gelu,adam,0.0005,0.5,True,128,0.3316,0.2797
128,"128,64,32",gelu,adam,0.0005,0.7,False,128,0.2278,0.1196
128,"128,64,32",gelu,adam,0.0005,0.7,True,128,0.2182,0.079
128,"256,128,64",gelu,adam,0.01,0.0,False,128,0.1119,0.1468
128,"256,128,64",gelu,adam,0.01,0.0,True,128,0.3016,0.4335
128,"256,128,64",gelu,adam,0.01,0.5,False,128,0.1741,0.1869
128,"256,128,64",gelu,adam,0.01,0.5,True,128,0.3016,0.1492
128,"256,128,64",gelu,adam,0.01,0.7,False,128,0.0919,0.0
128,"256,128,64",gelu,adam,0.01,0.7,True,128,0.212,0.1256
128,"256,128,64",gelu,adam,0.005,0.0,False,128,0.172,0.0704
128,"256,128,64",gelu,adam,0.005,0.0,True,128,0.3492,0.2802
128,"256,128,64",gelu,adam,0.005,0.5,False,128,0.1861,0.1488
128,"256,128,64",gelu,adam,0.005,0.5,True,128,0.343,0.3144
128,"256,128,64",gelu,adam,0.005,0.7,False,128,0.1763,0.0163
128,"256,128,64",gelu,adam,0.005,0.7,True,128,0.2766,0.1915
128,"256,128,64",gelu,adam,0.0005,0.0,False,128,0.3623,0.2836
128,"256,128,64",gelu,adam,0.0005,0.0,True,128,0.3671,0.2938
128,"256,128,64",gelu,adam,0.0005,0.5,False,128,0.3517,0.3297
128,"256,128,64",gelu,adam,0.0005,0.5,True,128,0.3651,0.2905
128,"256,128,64",gelu,adam,0.0005,0.7,False,128,0.2867,0.2484
128,"256,128,64",gelu,adam,0.0005,0.7,True,128,0.3088,0.2079
128,"512,256,128,64",gelu,adam,0.01,0.0,False,128,0.0936,0.1168
128,"512,256,128,64",gelu,adam,0.01,0.0,True,128,0.2995,0.3892
128,"512,256,128,64",gelu,adam,0.01,0.5,False,128,0.1465,0.0
128,"512,256,128,64",gelu,adam,0.01,0.5,True,128,0.2157,0.0911
128,"512,256,128,64",gelu,adam,0.01,0.7,False,128,0.1,0.0
128,"512,256,128,64",gelu,adam,0.01,0.7,True,128,0.2042,0.0436
128,"512,256,128,64",gelu,adam,0.005,0.0,False,128,0.158,0.3286
128,"512,256,128,64",gelu,adam,0.005,0.0,True,128,0.3297,0.3497
128,"512,256,128,64",gelu,adam,0.005,0.5,False,128,0.1875,0.5469
128,"512,256,128,64",gelu,adam,0.005,0.5,True,128,0.2948,0.2035
