pca_components,hidden_layers,activation,optimizer,lr,dropout,use_batchnorm,epochs,batch_size,w_init,accuracy,f1_score
128,"128,64,32",gelu,adam,0.001,0.5,True,50,128,xavier,0.3224,0.2733
50,"128,64,32",gelu,adam,0.001,0.5,True,50,128,xavier,0.3391,0.2093
80,"128,64,32",gelu,adam,0.001,0.5,True,50,128,xavier,0.3512,0.2418
200,"128,64,32",gelu,adam,0.001,0.5,True,50,128,xavier,0.0,0.0
128,"64,32",gelu,adam,0.001,0.5,True,50,128,xavier,0.3347,0.3059
128,"256,128,64",gelu,adam,0.001,0.5,True,50,128,xavier,0.3659,0.3005
128,"512,256,128,64",gelu,adam,0.001,0.5,True,50,128,xavier,0.3767,0.2666
128,"128,64,32",relu,adam,0.001,0.5,True,50,128,xavier,0.3493,0.2527
128,"128,64,32",tanh,adam,0.001,0.5,True,50,128,xavier,0.0,0.0
128,"128,64,32",leaky_relu,adam,0.001,0.5,True,50,128,xavier,0.0,0.0
128,"128,64,32",gelu,sgd,0.001,0.5,True,50,128,xavier,0.1403,0.1949
128,"128,64,32",gelu,sgd_momentum,0.001,0.5,True,50,128,xavier,0.1487,0.0799
128,"128,64,32",gelu,adam,0.01,0.5,True,50,128,xavier,0.2802,0.1507
128,"128,64,32",gelu,adam,0.005,0.5,True,50,128,xavier,0.2824,0.3947
128,"128,64,32",gelu,adam,0.0005,0.5,True,50,128,xavier,0.3349,0.2077
128,"128,64,32",gelu,adam,0.0001,0.5,True,50,128,xavier,0.2523,0.1273
128,"128,64,32",gelu,adam,0.001,0.0,True,50,128,xavier,0.3602,0.3088
128,"128,64,32",gelu,adam,0.001,0.3,True,50,128,xavier,0.369,0.3005
128,"128,64,32",gelu,adam,0.001,0.7,True,50,128,xavier,0.2378,0.1725
128,"128,64,32",gelu,adam,0.001,0.5,False,50,128,xavier,0.3484,0.3311
128,"128,64,32",gelu,adam,0.001,0.5,True,50,32,xavier,0.3254,0.1159
128,"128,64,32",gelu,adam,0.001,0.5,True,50,64,xavier,0.3532,0.2225
128,"128,64,32",gelu,adam,0.001,0.5,True,50,256,xavier,0.3414,0.3016
